pair_id,jd_id,gap_source,gap_count,identified_gaps,groundtruth_technical_gaps,gap_match_details,missed_gap_confusions,query_text,truth_count,truth_courses,pred_top10,pred_top10_titles,overlap_top10,hit@1,hit@3,hit@5,hit@10
99,695cc0241fa95d1eeecca0c7,groundtruth_dataset,3,Python; C#; performance testing techniques and tools,Python; C#; performance testing techniques and tools,<groundtruth_gap_source>,,"Python, C#, performance testing techniques and tools",2,CNTT1180; TIHT1113,TKKT1134; NNTM1107; NNTM1163; TOkt1110; TOKT1149; DTKT1149; CNTT1153; CNTT1187; CNTT1118; CNTT11102,Data Analysis 2; Translation 1; Translation 3; Mathematical Statistics; Data Driven Marketing; Chuyên đề Tin học quản lý đầu tư; Java Programming; Data Analysis Programming; Algorithm Analysis and Design; Vulnerability Assessment and Penetration Testing,,0.0,0.0,0.0,0.0
100,696fd8ceb166038a822e4791,groundtruth_dataset,5,SOAP; Flutter; Android; cloud services; background communication,SOAP; Flutter; Android; cloud services; background communication,<groundtruth_gap_source>,,"SOAP, Flutter, Android, cloud services, background communication",1,CNTT1167,NNTM1107; TKKT1134; NNTM1163; CNTT1190; TOKT1149; DLKS1159; CNTT1154; NNKC 1131; DTKT1149; NNTV1107,Translation 1; Data Analysis 2; Translation 3; Service Oriented Software Development; Data Driven Marketing; Operation of hospitality services 2; Internet of Things; English 1; Chuyên đề Tin học quản lý đầu tư; Vietnamese in Use,,0.0,0.0,0.0,0.0
102,696380c657a0f8cfb910e928,groundtruth_dataset,4,Redmine; Chrome DevTools; Selenium; Appium,Redmine; Chrome DevTools; Selenium; Appium,<groundtruth_gap_source>,,"Redmine, Chrome DevTools, Selenium, Appium",3,CNTT1188; TIKT1134; CNTT1119,TKKT1134; NNTM1107; NNTM1163; DTKT1149; TOKT1149; CNTT1157; CNTT11102; CNTT1187; CNTT1119; TIKT1129,Data Analysis 2; Translation 1; Translation 3; Chuyên đề Tin học quản lý đầu tư; Data Driven Marketing; Mobile Applications Development; Vulnerability Assessment and Penetration Testing; Data Analysis Programming; Website Design and Programming; Electronic Commerce Systems,CNTT1119,0.0,0.0,0.0,1.0
103,695cc1491fa95d1eeecca0c8,groundtruth_dataset,6,GCP; Azure; MariaDB; Oracle; Change management; Performance tuning,GCP; Azure; MariaDB; Oracle; Change management; Performance tuning,<groundtruth_gap_source>,,"GCP, Azure, MariaDB, Oracle, Change management, Performance tuning",2,TKkD1127; CNTT1167,TKKT1134; TIKT1130; TIKT1130; TIKT1124; DTKT1149; CNTT1152; CNTT1167; NNTM1107; CNTT1187; TOKT1149,Data Analysis 2; Database; Database; Database Application; Chuyên đề Tin học quản lý đầu tư; Database Management Systems; Cloud Computing; Translation 1; Data Analysis Programming; Data Driven Marketing,CNTT1167,0.0,0.0,0.0,1.0
106,696380c657a0f8cfb910e929,groundtruth_dataset,4,Google Cloud Deployment Manager; Cloud SDK; Python; Go,Google Cloud Deployment Manager; Cloud SDK; Python; Go,<groundtruth_gap_source>,,"Google Cloud Deployment Manager, Cloud SDK, Python, Go",2,CNTT1167; CNTT1180,TKKT1134; NNTM1107; CNTT1167; DTKT1149; NNTM1163; TOKT1149; CNTT1186; CNTT1198; TIHT1113; TIKT1135,Data Analysis 2; Translation 1; Cloud Computing; Chuyên đề Tin học quản lý đầu tư; Translation 3; Data Driven Marketing; Advanced Technologies in Information and Communication Technology; Cloud Service Security; Development of Management Applications; Development of Open Source Software and Applications,CNTT1167,0.0,1.0,1.0,1.0
108,69526bd3b27a39886f08ad22,groundtruth_dataset,3,unit tests; test automation; AI development,unit tests; test automation; AI development,<groundtruth_gap_source>,,"unit tests, test automation, AI development",2,CNTT1178; CNTT1140,TKKT1134; NNTM1107; NNTM1163; CNTT1140; TIHT1123; TOKT1149; DTKT1149; TOkt1110; CNTT1178; NNKC 1131,Data Analysis 2; Translation 1; Translation 3; Artificial Intelligence; Application of Artificial Intelligence in Business and Management; Data Driven Marketing; Chuyên đề Tin học quản lý đầu tư; Mathematical Statistics; Software Testing and Quality Assurance; English 1,CNTT1140; CNTT1178,0.0,0.0,1.0,1.0
121,695cc2751fa95d1eeecca0cb,groundtruth_dataset,5,"Modern architectural styles (microservices, cloud-based, micro-kernel); Design patterns (SOLID, GoF, MVVM); CI/CD tools and practices; Oracle; MS SQL","Modern architectural styles (microservices, cloud-based, micro-kernel); Design patterns (SOLID, GoF, MVVM); CI/CD tools and practices; Oracle; MS SQL",<groundtruth_gap_source>,,"Modern architectural styles (microservices, cloud-based, micro-kernel), Design patterns (SOLID, GoF, MVVM), CI/CD tools and practices, Oracle, MS SQL",5,CNTT1167; TIKT1124; CNTT1152; TIKT1130; CNTT1188,CNTT1190; TIKT1130; CNTT1119; TIKT1130; CNTT1175; CNTT1152; TIKT1124; CNTT1198; CNTT1188; TKKT1134,Service Oriented Software Development; Database; Website Design and Programming; Database; Unstructured database; Database Management Systems; Database Application; Cloud Service Security; Web Programming; Data Analysis 2,TIKT1130; TIKT1130; CNTT1152; TIKT1124; CNTT1188,0.0,1.0,1.0,1.0
125,695cc2761fa95d1eeecca0cc,groundtruth_dataset,2,secure coding practices; encryption standards,secure coding practices; encryption standards,<groundtruth_gap_source>,,"secure coding practices, encryption standards",2,CNTT1197; CNTT1168,CNTT11105; NNTM1107; CNTT1168; CNTT1199; NNTM1163; TKKT1134; CNTT11102; CNTT1198; TOCB1107; CNTT1197,Cryptography and Information Security; Translation 1; An toàn và bảo mật thông tin; Software and Database Security; Translation 3; Data Analysis 2; Vulnerability Assessment and Penetration Testing; Cloud Service Security; Discrete Mathematics; Cybersecurity,CNTT1168; CNTT1197,0.0,1.0,1.0,1.0
136,69651066b166038a822e42f3,groundtruth_dataset,1,English communication skills (average level),English communication skills (average level),<groundtruth_gap_source>,,English communication skills (average level),3,NNKC 1131; NNTM1176; NNTM1151,NNTM1107; NNKC 1131; NNTM1176; NNKC 1132; NNTV1107; NNTM1163; NNKC1125; NNTM1134; NNTM1177; NNKC,Translation 1; English 1; English – Listening and Speaking skills 1; English 2; Vietnamese in Use; Translation 3; Second Foreign Language (French 1); Applied English Grammar; English – Listening and Speaking skills 2; Second Foreign Language (French 3),NNKC 1131; NNTM1176,0.0,1.0,1.0,1.0
142,695283c0b27a39886f08ae47,groundtruth_dataset,1,Data Analysis for Facebook Ad Campaigns,Data Analysis for Facebook Ad Campaigns,<groundtruth_gap_source>,,Data Analysis for Facebook Ad Campaigns,2,TKKT1133; TKkD1127,TOKT1149; TKKT1134; MKTT1112; MKTT1158; TKKT1133; NNTM1107; MKTT1110; CNTT1187; MKBH1116; MKTT1102,Data Driven Marketing; Data Analysis 2; Advertising Management; Advertising media planning; Data Analysis 1; Translation 1; Advertising agency management; Data Analysis Programming; Digital Marketing; Integrated Marketing Communications,TKKT1133,0.0,0.0,1.0,1.0
149,6970992ab166038a822e47cc,groundtruth_dataset,5,Sketch; component; usability; accessibility; responsive design,Sketch; component; usability; accessibility; responsive design,<groundtruth_gap_source>,,"Sketch, component, usability, accessibility, responsive design",1,CNTT1165,TKKT1134; NNTM1107; NNTM1163; TNBD1136; CNTT1119; CNTT1165; CNTT1118; CNTT1117; TOKT1149; NNKC 1131,Data Analysis 2; Translation 1; Translation 3; Architecture; Website Design and Programming; Web Design; Algorithm Analysis and Design; System Analysis and Design; Data Driven Marketing; English 1,CNTT1165,0.0,0.0,0.0,1.0
152,6952858db27a39886f08ae5f,groundtruth_dataset,3,Corporate banking credit operations; Knowledge of CBRC rules; Commercial banking laws (MGA),Corporate banking credit operations; Knowledge of CBRC rules; Commercial banking laws (MGA),<groundtruth_gap_source>,,"Corporate banking credit operations, Knowledge of CBRC rules, Commercial banking laws (MGA)",3,LUKD1187; NHTM 1121; NHTM 1111,NHTM 1111; NHHLT1106; NHTM 1121; NHTM 1102; LUKD1187; LUKD1196; LUKD1110; LUKD1185; LUKD1188; LUKD1111,Commercial Banking 2; Ngân hàng Trung ương; Commercial Banking; Commercial Banking 1; Banking Law; Law on Commerce; Law on Commerce 1; Economic Law; Law on Finance; Law on Commerce 2,NHTM 1111; NHTM 1121; LUKD1187,1.0,1.0,1.0,1.0
153,695cc30b1fa95d1eeecca0ce,groundtruth_dataset,3,accessibility; security-by-design principles; Fluent in English (written and oral),accessibility; security-by-design principles; Fluent in English (written and oral),<groundtruth_gap_source>,,"accessibility, security-by-design principles, Fluent in English (written and oral)",4,CNTT1165; NNKC 1131; NNTM1179; NNTM1176,NNTM1107; NNTM1163; NNKC 1131; NNTM1176; NNTM1110; NNTV1107; NNTM1108; NNKC1125; NNKC 1132; TKKT1134,Translation 1; Translation 3; English 1; English – Listening and Speaking skills 1; Interpretation 1; Vietnamese in Use; Translation 2; Second Foreign Language (French 1); English 2; Data Analysis 2,NNKC 1131; NNTM1176,0.0,1.0,1.0,1.0
155,6965c64eb166038a822e4305,groundtruth_dataset,2,E-learning product knowledge; English proficiency (IELTS 5.5 or equivalent),E-learning product knowledge; English proficiency (IELTS 5.5 or equivalent),<groundtruth_gap_source>,,"E-learning product knowledge, English proficiency (IELTS 5.5 or equivalent)",2,NNTM1176; NNKC 1131,TMKQ1115; NNKC 1131; NNTM1176; NNTM1107; NNTM1134; NNTM1151; CNTT1192; NNTM1177; NNTM1170; NNTM1163,English for International Economics and Business; English 1; English – Listening and Speaking skills 1; Translation 1; Applied English Grammar; Integrated skills - English for economics and business 1; English for IT; English – Listening and Speaking skills 2; Cultures of English speaking countries; Translation 3,NNKC 1131; NNTM1176,0.0,1.0,1.0,1.0
156,697b1d2eb166038a822e4d50,groundtruth_dataset,1,Financial Analysis,Financial Analysis,<groundtruth_gap_source>,,Financial Analysis,2,NHTC1108; KTHT1104,TKKT1134; NHTC1108; NHTC1103; TOKT1149; NHTC1112; NHTC1120; DTKT1149; NHLT1101; TOTC1108; NHCK1106,Data Analysis 2; Financial Analysis; Quản trị Tài chính trong du lịch và khách sạn; Data Driven Marketing; Financial appraisal of investment projects; Corporate Finance; Chuyên đề Tin học quản lý đầu tư; Monetary and Financial Theories 1; The models for analyzing and evaluating the financial assets 1; Securities Analysis and Investment,NHTC1108,0.0,1.0,1.0,1.0
168,695cc6a61fa95d1eeecca0de,groundtruth_dataset,3,JavaScript; C#; Playwright,JavaScript; C#; Playwright,<groundtruth_gap_source>,,"JavaScript, C#, Playwright",2,TIHT1113; CNTT1165,NNTM1107; TKKT1134; NNTM1163; CNTT1119; DTKT1149; CNTT1188; CNTT1165; TIKT1129; CNTT1153; TIKT1129,Translation 1; Data Analysis 2; Translation 3; Website Design and Programming; Chuyên đề Tin học quản lý đầu tư; Web Programming; Web Design; Electronic Commerce Systems; Java Programming; Electronic Commerce Systems,CNTT1165,0.0,0.0,0.0,1.0
170,6965cf77b166038a822e4324,groundtruth_dataset,4,Legal consultation; Urban planning knowledge; Feng shui consultation; Real estate investment analysis,Legal consultation; Urban planning knowledge; Feng shui consultation; Real estate investment analysis,<groundtruth_gap_source>,,"Legal consultation, Urban planning knowledge, Feng shui consultation, Real estate investment analysis",4,LUKD1193; TNBD1115; TNBD1137; MTDT1114,TNBD1135; NNTM1107; TKKT1134; MTDT1123; NNTM1163; TNBD1133; LUCS1139; TNBD1115; LUKD1193; DTKT1149,Real Estate Business 2; Translation 1; Data Analysis 2; Urban Housing Economics and Management; Translation 3; English for Real Estate; Roman Law; Real Estate Brokerage; Legal Consulting Skills; Chuyên đề Tin học quản lý đầu tư,TNBD1115; LUKD1193,0.0,0.0,0.0,1.0
171,69709a36b166038a822e47dd,groundtruth_dataset,4,credit operations; risk management; appraisal; valuation,credit operations; risk management; appraisal; valuation,<groundtruth_gap_source>,,"credit operations, risk management, appraisal, valuation",2,TOTC1120; TOTC1121,NHTM 1111; NHTM 1114; TOTC1121; NHTM 1121; NHTM 1102; TKKT1134; NHHLT1106; NNTM1107; NHTM1129; NNTM 1150,Commercial Banking 2; Risk Management; Quantitative risk management 2; Commercial Banking; Commercial Banking 1; Data Analysis 2; Ngân hàng Trung ương; Translation 1; Risk Management; English for Banking and Finance – in English,TOTC1121,0.0,1.0,1.0,1.0
177,69709c09b166038a822e47e2,groundtruth_dataset,2,contracts negotiation; product promotion,contracts negotiation; product promotion,<groundtruth_gap_source>,,"contracts negotiation, product promotion",2,DTKT1164; MKTT1145,NNTM1107; MKTT1145; NNTM1163; DTKT1164; TOKT1149; TKKT1134; TNBD1135; LUKD1111; LUKD1164; TMQT1149,Translation 1; Sales Promotion; Translation 3; Contract Management; Data Driven Marketing; Data Analysis 2; Real Estate Business 2; Law on Commerce 2; International Trade Law; English for International Trade,MKTT1145; DTKT1164,0.0,1.0,1.0,1.0
180,695cc6a61fa95d1eeecca0e0,groundtruth_dataset,3,MongoDB; Kubernetes; GO,MongoDB; Kubernetes; GO,<groundtruth_gap_source>,,"MongoDB, Kubernetes, GO",2,CNTT1175; CNTT1167,CNTT1175; TKKT1134; NNTM1107; TIKT1130; TOKT1149; TIKT1130; NNTM1163; TIKT1124; CNTT1181; DTKT1149,Unstructured database; Data Analysis 2; Translation 1; Database; Data Driven Marketing; Database; Translation 3; Database Application; Knowledge Discovery in Database; Chuyên đề Tin học quản lý đầu tư,CNTT1175,1.0,1.0,1.0,1.0
181,69709c4eb166038a822e47e6,groundtruth_dataset,2,Logistics; Fulfillment services,Logistics; Fulfillment services,<groundtruth_gap_source>,,"Logistics, Fulfillment services",3,TMKT1140; TMKT1145; TMKT1136,QTKD1153; NNTM1107; TMKT1125; TMKT1151; TKKT1134; NNTM1163; QTKD1133; TMKT1145; TMKT1136; DLLH1129,Logistics and Supply Chain Management; Translation 1; Principles of Logistics Management; Logistics Planning and Control Systems; Data Analysis 2; Translation 3; Supply Chain Management; Business Logistics; E-Logistics; Transportation service management in tourism,TMKT1145; TMKT1136,0.0,0.0,0.0,1.0
188,6952ad90b27a39886f08b059,groundtruth_dataset,2,Financial Analysis; Corporate accounting regulations,Financial Analysis; Corporate accounting regulations,<groundtruth_gap_source>,,"Financial Analysis, Corporate accounting regulations",2,KHMA1125; LUKD1185,KTKE1101; KTKE1103; NHTC1108; MKDG1114; NHTC1103; NHTC1104; KTKE1109; KTKE1110; NHTC1120; KTHT 1102,Nguyên lý kế toán; Public Accounting; Financial Analysis; Corporate Valuation; Quản trị Tài chính trong du lịch và khách sạn; Corporate Finance 1; Public Accounting 1; Public Accounting 2; Corporate Finance; Accounting Information Systems 2,,0.0,0.0,0.0,0.0
195,697b1e91b166038a822e4d59,groundtruth_dataset,1,international payment methods,international payment methods,<groundtruth_gap_source>,,international payment methods,1,NHQT1118,NNTM1107; NHQT1118; NHQT1112; TMQT1154; NHHLT1106; NNTM1163; TMQT1149; TKKT1134; NNTM1108; NHTM 1102,Translation 1; Payment and Credit in International Trade; International Payments; Payment for E-commerce; Ngân hàng Trung ương; Translation 3; English for International Trade; Data Analysis 2; Translation 2; Commercial Banking 1,NHQT1118,0.0,1.0,1.0,1.0
197,6966a59eb166038a822e43ce,groundtruth_dataset,4,TikTok marketing; YouTube marketing; Technical analysis (TA); Financial analysis (FA),TikTok marketing; YouTube marketing; Technical analysis (TA); Financial analysis (FA),<groundtruth_gap_source>,,"TikTok marketing, YouTube marketing, Technical analysis (TA), Financial analysis (FA)",3,TOTC1109; TIKT1132; MKBH1116,TOKT1149; TKKT1134; MKBH1116; MKTT1158; NNTM1107; MKMA1158; TIKT1132; MKMA1105; MKMA1104; MKMA1112,Data Driven Marketing; Data Analysis 2; Digital Marketing; Advertising media planning; Translation 1; Agricultural Marketing; Online Marketing; Principles of Marketing; Principles of Marketing; English for Marketing,MKBH1116; TIKT1132,0.0,1.0,1.0,1.0
198,6970a53db166038a822e47f9,groundtruth_dataset,3,Real Estate Law; Labor Law; English proficiency,Real Estate Law; Labor Law; English proficiency,<groundtruth_gap_source>,,"Real Estate Law, Labor Law, English proficiency",2,TNBD1133; LUKD1108,TNBD1133; LUCS1141; LUKD1133; LUCS1139; TNBD1135; LUKD1111; LUKD1164; LUKD1108; TNBD1115; TMKQ1115,English for Real Estate; English for Law; Skills on Formulation and Execution of Commercial Contracts; Roman Law; Real Estate Business 2; Law on Commerce 2; International Trade Law; Labor Law; Real Estate Brokerage; English for International Economics and Business,TNBD1133; LUKD1108,1.0,1.0,1.0,1.0
201,697b1f1eb166038a822e4d5a,groundtruth_dataset,2,CAD/CAM software; cloud computing,CAD/CAM software; cloud computing,<groundtruth_gap_source>,,"CAD/CAM software, cloud computing",1,CNTT1167,TKKT1134; NNTM1107; TIHT1119; DTKT1149; NNTM1163; TOKT1149; CNTT1167; CNTT1186; TIKT1117; CNTT1187,Data Analysis 2; Translation 1; Computer-based Accounting; Chuyên đề Tin học quản lý đầu tư; Translation 3; Data Driven Marketing; Cloud Computing; Advanced Technologies in Information and Communication Technology; Accounting Informatics; Data Analysis Programming,CNTT1167,0.0,0.0,0.0,1.0
208,695cc87c1fa95d1eeecca0e3,groundtruth_dataset,4,Kubernetes; AWS; GCP; GOC,Kubernetes; AWS; GCP; GOC,<groundtruth_gap_source>,,"Kubernetes, AWS, GCP, GOC",2,CNTT1167; CNTT1186,TKKT1134; CNTT1167; NNTM1107; CNTT1198; TOKT1149; DTKT1149; NNTM1163; CNTT1186; TIKT1135; DLKS1110,Data Analysis 2; Cloud Computing; Translation 1; Cloud Service Security; Data Driven Marketing; Chuyên đề Tin học quản lý đầu tư; Translation 3; Advanced Technologies in Information and Communication Technology; Development of Open Source Software and Applications; MICE MANAGEMENT,CNTT1167; CNTT1186,0.0,1.0,1.0,1.0
219,6966aa84b166038a822e43f3,groundtruth_dataset,3,Zalo Ads; AI; chatbots,Zalo Ads; AI; chatbots,<groundtruth_gap_source>,,"Zalo Ads, AI, chatbots",2,TIHT1123; CNTT1140,TKKT1134; NNTM1107; TOKT1149; NNTM1163; MKTT1110; MKTT1112; TIHT1123; CNTT1140; MKTT1102; MKTT1158,Data Analysis 2; Translation 1; Data Driven Marketing; Translation 3; Advertising agency management; Advertising Management; Application of Artificial Intelligence in Business and Management; Artificial Intelligence; Integrated Marketing Communications; Advertising media planning,TIHT1123; CNTT1140,0.0,0.0,0.0,1.0
